Task,Layer,TopK,Metric,Value
german,0,50,Unique,0
german,0,50,Shared,50
german,0,100,Unique,3
german,0,100,Shared,97
german,0,500,Unique,10
german,0,500,Shared,490
german,0,1000,Unique,12
german,0,1000,Shared,988
german,0,2000,Unique,16
german,0,2000,Shared,1984
german,0,3000,Unique,128
german,0,3000,Shared,2872
german,0,5000,Unique,1314
german,0,5000,Shared,3686
german,1,50,Unique,1
german,1,50,Shared,49
german,1,100,Unique,2
german,1,100,Shared,98
german,1,500,Unique,15
german,1,500,Shared,485
german,1,1000,Unique,203
german,1,1000,Shared,797
german,1,2000,Unique,748
german,1,2000,Shared,1252
german,1,3000,Unique,1448
german,1,3000,Shared,1552
german,1,5000,Unique,2805
german,1,5000,Shared,2195
german,2,50,Unique,2
german,2,50,Shared,48
german,2,100,Unique,3
german,2,100,Shared,97
german,2,500,Unique,16
german,2,500,Shared,484
german,2,1000,Unique,120
german,2,1000,Shared,880
german,2,2000,Unique,347
german,2,2000,Shared,1653
german,2,3000,Unique,691
german,2,3000,Shared,2309
german,2,5000,Unique,1953
german,2,5000,Shared,3047
german,3,50,Unique,2
german,3,50,Shared,48
german,3,100,Unique,3
german,3,100,Shared,97
german,3,500,Unique,12
german,3,500,Shared,488
german,3,1000,Unique,18
german,3,1000,Shared,982
german,3,2000,Unique,90
german,3,2000,Shared,1910
german,3,3000,Unique,155
german,3,3000,Shared,2845
german,3,5000,Unique,284
german,3,5000,Shared,4716
german,4,50,Unique,3
german,4,50,Shared,47
german,4,100,Unique,5
german,4,100,Shared,95
german,4,500,Unique,20
german,4,500,Shared,480
german,4,1000,Unique,16
german,4,1000,Shared,984
german,4,2000,Unique,118
german,4,2000,Shared,1882
german,4,3000,Unique,183
german,4,3000,Shared,2817
german,4,5000,Unique,284
german,4,5000,Shared,4716
german,5,50,Unique,2
german,5,50,Shared,48
german,5,100,Unique,3
german,5,100,Shared,97
german,5,500,Unique,36
german,5,500,Shared,464
german,5,1000,Unique,89
german,5,1000,Shared,911
german,5,2000,Unique,165
german,5,2000,Shared,1835
german,5,3000,Unique,224
german,5,3000,Shared,2776
german,5,5000,Unique,371
german,5,5000,Shared,4629
german,6,50,Unique,1
german,6,50,Shared,49
german,6,100,Unique,2
german,6,100,Shared,98
german,6,500,Unique,22
german,6,500,Shared,478
german,6,1000,Unique,109
german,6,1000,Shared,891
german,6,2000,Unique,232
german,6,2000,Shared,1768
german,6,3000,Unique,326
german,6,3000,Shared,2674
german,6,5000,Unique,460
german,6,5000,Shared,4540
german,7,50,Unique,2
german,7,50,Shared,48
german,7,100,Unique,3
german,7,100,Shared,97
german,7,500,Unique,36
german,7,500,Shared,464
german,7,1000,Unique,112
german,7,1000,Shared,888
german,7,2000,Unique,252
german,7,2000,Shared,1748
german,7,3000,Unique,337
german,7,3000,Shared,2663
german,7,5000,Unique,486
german,7,5000,Shared,4514
german,8,50,Unique,1
german,8,50,Shared,49
german,8,100,Unique,4
german,8,100,Shared,96
german,8,500,Unique,47
german,8,500,Shared,453
german,8,1000,Unique,134
german,8,1000,Shared,866
german,8,2000,Unique,278
german,8,2000,Shared,1722
german,8,3000,Unique,362
german,8,3000,Shared,2638
german,8,5000,Unique,559
german,8,5000,Shared,4441
german,9,50,Unique,2
german,9,50,Shared,48
german,9,100,Unique,5
german,9,100,Shared,95
german,9,500,Unique,71
german,9,500,Shared,429
german,9,1000,Unique,187
german,9,1000,Shared,813
german,9,2000,Unique,317
german,9,2000,Shared,1683
german,9,3000,Unique,435
german,9,3000,Shared,2565
german,9,5000,Unique,598
german,9,5000,Shared,4402
german,10,50,Unique,2
german,10,50,Shared,48
german,10,100,Unique,2
german,10,100,Shared,98
german,10,500,Unique,63
german,10,500,Shared,437
german,10,1000,Unique,171
german,10,1000,Shared,829
german,10,2000,Unique,289
german,10,2000,Shared,1711
german,10,3000,Unique,419
german,10,3000,Shared,2581
german,10,5000,Unique,634
german,10,5000,Shared,4366
german,11,50,Unique,0
german,11,50,Shared,50
german,11,100,Unique,3
german,11,100,Shared,97
german,11,500,Unique,75
german,11,500,Shared,425
german,11,1000,Unique,188
german,11,1000,Shared,812
german,11,2000,Unique,364
german,11,2000,Shared,1636
german,11,3000,Unique,489
german,11,3000,Shared,2511
german,11,5000,Unique,695
german,11,5000,Shared,4305
german,12,50,Unique,2
german,12,50,Shared,48
german,12,100,Unique,1
german,12,100,Shared,99
german,12,500,Unique,76
german,12,500,Shared,424
german,12,1000,Unique,189
german,12,1000,Shared,811
german,12,2000,Unique,351
german,12,2000,Shared,1649
german,12,3000,Unique,500
german,12,3000,Shared,2500
german,12,5000,Unique,705
german,12,5000,Shared,4295
german,13,50,Unique,2
german,13,50,Shared,48
german,13,100,Unique,5
german,13,100,Shared,95
german,13,500,Unique,85
german,13,500,Shared,415
german,13,1000,Unique,193
german,13,1000,Shared,807
german,13,2000,Unique,376
german,13,2000,Shared,1624
german,13,3000,Unique,539
german,13,3000,Shared,2461
german,13,5000,Unique,789
german,13,5000,Shared,4211
german,14,50,Unique,3
german,14,50,Shared,47
german,14,100,Unique,5
german,14,100,Shared,95
german,14,500,Unique,68
german,14,500,Shared,432
german,14,1000,Unique,128
german,14,1000,Shared,872
german,14,2000,Unique,206
german,14,2000,Shared,1794
german,14,3000,Unique,264
german,14,3000,Shared,2736
german,14,5000,Unique,342
german,14,5000,Shared,4658
german,15,50,Unique,2
german,15,50,Shared,48
german,15,100,Unique,4
german,15,100,Shared,96
german,15,500,Unique,84
german,15,500,Shared,416
german,15,1000,Unique,168
german,15,1000,Shared,832
german,15,2000,Unique,291
german,15,2000,Shared,1709
german,15,3000,Unique,373
german,15,3000,Shared,2627
german,15,5000,Unique,552
german,15,5000,Shared,4448
german,16,50,Unique,2
german,16,50,Shared,48
german,16,100,Unique,9
german,16,100,Shared,91
german,16,500,Unique,61
german,16,500,Shared,439
german,16,1000,Unique,104
german,16,1000,Shared,896
german,16,2000,Unique,174
german,16,2000,Shared,1826
german,16,3000,Unique,210
german,16,3000,Shared,2790
german,16,5000,Unique,381
german,16,5000,Shared,4619
german,17,50,Unique,2
german,17,50,Shared,48
german,17,100,Unique,10
german,17,100,Shared,90
german,17,500,Unique,69
german,17,500,Shared,431
german,17,1000,Unique,124
german,17,1000,Shared,876
german,17,2000,Unique,185
german,17,2000,Shared,1815
german,17,3000,Unique,260
german,17,3000,Shared,2740
german,17,5000,Unique,442
german,17,5000,Shared,4558
german,18,50,Unique,1
german,18,50,Shared,49
german,18,100,Unique,12
german,18,100,Shared,88
german,18,500,Unique,61
german,18,500,Shared,439
german,18,1000,Unique,115
german,18,1000,Shared,885
german,18,2000,Unique,188
german,18,2000,Shared,1812
german,18,3000,Unique,269
german,18,3000,Shared,2731
german,18,5000,Unique,470
german,18,5000,Shared,4530
german,19,50,Unique,4
german,19,50,Shared,46
german,19,100,Unique,7
german,19,100,Shared,93
german,19,500,Unique,97
german,19,500,Shared,403
german,19,1000,Unique,191
german,19,1000,Shared,809
german,19,2000,Unique,321
german,19,2000,Shared,1679
german,19,3000,Unique,460
german,19,3000,Shared,2540
german,19,5000,Unique,872
german,19,5000,Shared,4128
german,20,50,Unique,1
german,20,50,Shared,49
german,20,100,Unique,5
german,20,100,Shared,95
german,20,500,Unique,49
german,20,500,Shared,451
german,20,1000,Unique,74
german,20,1000,Shared,926
german,20,2000,Unique,115
german,20,2000,Shared,1885
german,20,3000,Unique,136
german,20,3000,Shared,2864
german,20,5000,Unique,523
german,20,5000,Shared,4477
german,21,50,Unique,5
german,21,50,Shared,45
german,21,100,Unique,6
german,21,100,Shared,94
german,21,500,Unique,52
german,21,500,Shared,448
german,21,1000,Unique,111
german,21,1000,Shared,889
german,21,2000,Unique,164
german,21,2000,Shared,1836
german,21,3000,Unique,221
german,21,3000,Shared,2779
german,21,5000,Unique,804
german,21,5000,Shared,4196
german,22,50,Unique,5
german,22,50,Shared,45
german,22,100,Unique,6
german,22,100,Shared,94
german,22,500,Unique,49
german,22,500,Shared,451
german,22,1000,Unique,102
german,22,1000,Shared,898
german,22,2000,Unique,192
german,22,2000,Shared,1808
german,22,3000,Unique,236
german,22,3000,Shared,2764
german,22,5000,Unique,673
german,22,5000,Shared,4327
german,23,50,Unique,2
german,23,50,Shared,48
german,23,100,Unique,5
german,23,100,Shared,95
german,23,500,Unique,52
german,23,500,Shared,448
german,23,1000,Unique,120
german,23,1000,Shared,880
german,23,2000,Unique,205
german,23,2000,Shared,1795
german,23,3000,Unique,338
german,23,3000,Shared,2662
german,23,5000,Unique,946
german,23,5000,Shared,4054
german,24,50,Unique,2
german,24,50,Shared,48
german,24,100,Unique,8
german,24,100,Shared,92
german,24,500,Unique,55
german,24,500,Shared,445
german,24,1000,Unique,104
german,24,1000,Shared,896
german,24,2000,Unique,192
german,24,2000,Shared,1808
german,24,3000,Unique,259
german,24,3000,Shared,2741
german,24,5000,Unique,866
german,24,5000,Shared,4134
german,25,50,Unique,4
german,25,50,Shared,46
german,25,100,Unique,3
german,25,100,Shared,97
german,25,500,Unique,49
german,25,500,Shared,451
german,25,1000,Unique,93
german,25,1000,Shared,907
german,25,2000,Unique,144
german,25,2000,Shared,1856
german,25,3000,Unique,191
german,25,3000,Shared,2809
german,25,5000,Unique,741
german,25,5000,Shared,4259
german,26,50,Unique,3
german,26,50,Shared,47
german,26,100,Unique,3
german,26,100,Shared,97
german,26,500,Unique,52
german,26,500,Shared,448
german,26,1000,Unique,81
german,26,1000,Shared,919
german,26,2000,Unique,104
german,26,2000,Shared,1896
german,26,3000,Unique,142
german,26,3000,Shared,2858
german,26,5000,Unique,664
german,26,5000,Shared,4336
german,27,50,Unique,2
german,27,50,Shared,48
german,27,100,Unique,11
german,27,100,Shared,89
german,27,500,Unique,41
german,27,500,Shared,459
german,27,1000,Unique,64
german,27,1000,Shared,936
german,27,2000,Unique,103
german,27,2000,Shared,1897
german,27,3000,Unique,120
german,27,3000,Shared,2880
german,27,5000,Unique,883
german,27,5000,Shared,4117
german,28,50,Unique,4
german,28,50,Shared,46
german,28,100,Unique,5
german,28,100,Shared,95
german,28,500,Unique,39
german,28,500,Shared,461
german,28,1000,Unique,63
german,28,1000,Shared,937
german,28,2000,Unique,120
german,28,2000,Shared,1880
german,28,3000,Unique,129
german,28,3000,Shared,2871
german,28,5000,Unique,507
german,28,5000,Shared,4493
german,29,50,Unique,1
german,29,50,Shared,49
german,29,100,Unique,5
german,29,100,Shared,95
german,29,500,Unique,39
german,29,500,Shared,461
german,29,1000,Unique,52
german,29,1000,Shared,948
german,29,2000,Unique,91
german,29,2000,Shared,1909
german,29,3000,Unique,97
german,29,3000,Shared,2903
german,29,5000,Unique,848
german,29,5000,Shared,4152
german,30,50,Unique,3
german,30,50,Shared,47
german,30,100,Unique,7
german,30,100,Shared,93
german,30,500,Unique,27
german,30,500,Shared,473
german,30,1000,Unique,41
german,30,1000,Shared,959
german,30,2000,Unique,78
german,30,2000,Shared,1922
german,30,3000,Unique,89
german,30,3000,Shared,2911
german,30,5000,Unique,828
german,30,5000,Shared,4172
german,31,50,Unique,2
german,31,50,Shared,48
german,31,100,Unique,7
german,31,100,Shared,93
german,31,500,Unique,22
german,31,500,Shared,478
german,31,1000,Unique,44
german,31,1000,Shared,956
german,31,2000,Unique,62
german,31,2000,Shared,1938
german,31,3000,Unique,72
german,31,3000,Shared,2928
german,31,5000,Unique,682
german,31,5000,Shared,4318
german,32,50,Unique,1
german,32,50,Shared,49
german,32,100,Unique,9
german,32,100,Shared,91
german,32,500,Unique,36
german,32,500,Shared,464
german,32,1000,Unique,41
german,32,1000,Shared,959
german,32,2000,Unique,59
german,32,2000,Shared,1941
german,32,3000,Unique,81
german,32,3000,Shared,2919
german,32,5000,Unique,736
german,32,5000,Shared,4264
german,33,50,Unique,2
german,33,50,Shared,48
german,33,100,Unique,8
german,33,100,Shared,92
german,33,500,Unique,33
german,33,500,Shared,467
german,33,1000,Unique,45
german,33,1000,Shared,955
german,33,2000,Unique,62
german,33,2000,Shared,1938
german,33,3000,Unique,84
german,33,3000,Shared,2916
german,33,5000,Unique,576
german,33,5000,Shared,4424
german,34,50,Unique,2
german,34,50,Shared,48
german,34,100,Unique,12
german,34,100,Shared,88
german,34,500,Unique,28
german,34,500,Shared,472
german,34,1000,Unique,44
german,34,1000,Shared,956
german,34,2000,Unique,59
german,34,2000,Shared,1941
german,34,3000,Unique,64
german,34,3000,Shared,2936
german,34,5000,Unique,619
german,34,5000,Shared,4381
german,35,50,Unique,2
german,35,50,Shared,48
german,35,100,Unique,11
german,35,100,Shared,89
german,35,500,Unique,24
german,35,500,Shared,476
german,35,1000,Unique,30
german,35,1000,Shared,970
german,35,2000,Unique,45
german,35,2000,Shared,1955
german,35,3000,Unique,58
german,35,3000,Shared,2942
german,35,5000,Unique,635
german,35,5000,Shared,4365
german,36,50,Unique,4
german,36,50,Shared,46
german,36,100,Unique,6
german,36,100,Shared,94
german,36,500,Unique,11
german,36,500,Shared,489
german,36,1000,Unique,18
german,36,1000,Shared,982
german,36,2000,Unique,33
german,36,2000,Shared,1967
german,36,3000,Unique,26
german,36,3000,Shared,2974
german,36,5000,Unique,857
german,36,5000,Shared,4143
german,37,50,Unique,3
german,37,50,Shared,47
german,37,100,Unique,8
german,37,100,Shared,92
german,37,500,Unique,15
german,37,500,Shared,485
german,37,1000,Unique,18
german,37,1000,Shared,982
german,37,2000,Unique,30
german,37,2000,Shared,1970
german,37,3000,Unique,28
german,37,3000,Shared,2972
german,37,5000,Unique,855
german,37,5000,Shared,4145
german,38,50,Unique,5
german,38,50,Shared,45
german,38,100,Unique,5
german,38,100,Shared,95
german,38,500,Unique,10
german,38,500,Shared,490
german,38,1000,Unique,15
german,38,1000,Shared,985
german,38,2000,Unique,24
german,38,2000,Shared,1976
german,38,3000,Unique,17
german,38,3000,Shared,2983
german,38,5000,Unique,807
german,38,5000,Shared,4193
german,39,50,Unique,1
german,39,50,Shared,49
german,39,100,Unique,1
german,39,100,Shared,99
german,39,500,Unique,4
german,39,500,Shared,496
german,39,1000,Unique,8
german,39,1000,Shared,992
german,39,2000,Unique,17
german,39,2000,Shared,1983
german,39,3000,Unique,374
german,39,3000,Shared,2626
german,39,5000,Unique,772
german,39,5000,Shared,4228
german,40,50,Unique,0
german,40,50,Shared,50
german,40,100,Unique,0
german,40,100,Shared,100
german,40,500,Unique,0
german,40,500,Shared,500
german,40,1000,Unique,0
german,40,1000,Shared,1000
german,40,2000,Unique,0
german,40,2000,Shared,2000
german,40,3000,Unique,0
german,40,3000,Shared,3000
german,40,5000,Unique,0
german,40,5000,Shared,5000
german,41,50,Unique,0
german,41,50,Shared,50
german,41,100,Unique,0
german,41,100,Shared,100
german,41,500,Unique,0
german,41,500,Shared,500
german,41,1000,Unique,0
german,41,1000,Shared,1000
german,41,2000,Unique,0
german,41,2000,Shared,2000
german,41,3000,Unique,0
german,41,3000,Shared,3000
german,41,5000,Unique,0
german,41,5000,Shared,5000
code,0,50,Unique,47
code,0,50,Shared,3
code,0,100,Unique,93
code,0,100,Shared,7
code,0,500,Unique,463
code,0,500,Shared,37
code,0,1000,Unique,891
code,0,1000,Shared,109
code,0,2000,Unique,1535
code,0,2000,Shared,465
code,0,3000,Unique,1837
code,0,3000,Shared,1163
code,0,5000,Unique,2152
code,0,5000,Shared,2848
code,1,50,Unique,45
code,1,50,Shared,5
code,1,100,Unique,91
code,1,100,Shared,9
code,1,500,Unique,442
code,1,500,Shared,58
code,1,1000,Unique,634
code,1,1000,Shared,366
code,1,2000,Unique,1215
code,1,2000,Shared,785
code,1,3000,Unique,1831
code,1,3000,Shared,1169
code,1,5000,Unique,2842
code,1,5000,Shared,2158
code,2,50,Unique,43
code,2,50,Shared,7
code,2,100,Unique,89
code,2,100,Shared,11
code,2,500,Unique,447
code,2,500,Shared,53
code,2,1000,Unique,551
code,2,1000,Shared,449
code,2,2000,Unique,849
code,2,2000,Shared,1151
code,2,3000,Unique,1253
code,2,3000,Shared,1747
code,2,5000,Unique,2287
code,2,5000,Shared,2713
code,3,50,Unique,45
code,3,50,Shared,5
code,3,100,Unique,92
code,3,100,Shared,8
code,3,500,Unique,455
code,3,500,Shared,45
code,3,1000,Unique,858
code,3,1000,Shared,142
code,3,2000,Unique,1091
code,3,2000,Shared,909
code,3,3000,Unique,954
code,3,3000,Shared,2046
code,3,5000,Unique,905
code,3,5000,Shared,4095
code,4,50,Unique,42
code,4,50,Shared,8
code,4,100,Unique,85
code,4,100,Shared,15
code,4,500,Unique,443
code,4,500,Shared,57
code,4,1000,Unique,867
code,4,1000,Shared,133
code,4,2000,Unique,986
code,4,2000,Shared,1014
code,4,3000,Unique,909
code,4,3000,Shared,2091
code,4,5000,Unique,993
code,4,5000,Shared,4007
code,5,50,Unique,42
code,5,50,Shared,8
code,5,100,Unique,82
code,5,100,Shared,18
code,5,500,Unique,376
code,5,500,Shared,124
code,5,1000,Unique,445
code,5,1000,Shared,555
code,5,2000,Unique,596
code,5,2000,Shared,1404
code,5,3000,Unique,745
code,5,3000,Shared,2255
code,5,5000,Unique,943
code,5,5000,Shared,4057
code,6,50,Unique,41
code,6,50,Shared,9
code,6,100,Unique,88
code,6,100,Shared,12
code,6,500,Unique,418
code,6,500,Shared,82
code,6,1000,Unique,550
code,6,1000,Shared,450
code,6,2000,Unique,753
code,6,2000,Shared,1247
code,6,3000,Unique,896
code,6,3000,Shared,2104
code,6,5000,Unique,1117
code,6,5000,Shared,3883
code,7,50,Unique,42
code,7,50,Shared,8
code,7,100,Unique,83
code,7,100,Shared,17
code,7,500,Unique,407
code,7,500,Shared,93
code,7,1000,Unique,526
code,7,1000,Shared,474
code,7,2000,Unique,750
code,7,2000,Shared,1250
code,7,3000,Unique,932
code,7,3000,Shared,2068
code,7,5000,Unique,1170
code,7,5000,Shared,3830
code,8,50,Unique,39
code,8,50,Shared,11
code,8,100,Unique,83
code,8,100,Shared,17
code,8,500,Unique,385
code,8,500,Shared,115
code,8,1000,Unique,524
code,8,1000,Shared,476
code,8,2000,Unique,797
code,8,2000,Shared,1203
code,8,3000,Unique,1004
code,8,3000,Shared,1996
code,8,5000,Unique,1280
code,8,5000,Shared,3720
code,9,50,Unique,42
code,9,50,Shared,8
code,9,100,Unique,83
code,9,100,Shared,17
code,9,500,Unique,351
code,9,500,Shared,149
code,9,1000,Unique,524
code,9,1000,Shared,476
code,9,2000,Unique,785
code,9,2000,Shared,1215
code,9,3000,Unique,1016
code,9,3000,Shared,1984
code,9,5000,Unique,1248
code,9,5000,Shared,3752
code,10,50,Unique,42
code,10,50,Shared,8
code,10,100,Unique,83
code,10,100,Shared,17
code,10,500,Unique,391
code,10,500,Shared,109
code,10,1000,Unique,561
code,10,1000,Shared,439
code,10,2000,Unique,819
code,10,2000,Shared,1181
code,10,3000,Unique,1042
code,10,3000,Shared,1958
code,10,5000,Unique,1319
code,10,5000,Shared,3681
code,11,50,Unique,42
code,11,50,Shared,8
code,11,100,Unique,86
code,11,100,Shared,14
code,11,500,Unique,377
